pc,delta_in,delta_out
140269433753112,-113791473,1
140269433753129,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433754153,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753253,1,-1
140269433753257,-1,1
140269433753230,1,-1
140269433753234,-1,1
140269433753230,1,-1
140269433753234,-1,1
140269433753230,1,-1
140269433753234,-1,1
140269433753230,1,-1
140269433753234,-1,1
140269433753279,1,-1
140269433753291,-1,1
140269433753295,1,-1
140269433753307,-1,1
140269433753311,1,-1
140269433753323,-1,1
140269433753327,1,-1
140269433753339,-1,1
140269433753343,1,-1
140269433753355,-1,1
140269433753359,1,-1
140269433753371,-1,1
140269433753375,1,-1
140269433753387,-1,1
140269433753391,1,-1
140269433753403,-1,1
140269433753407,1,-1
140269433753419,-1,1
140269433753430,1,-1
140269433753449,-1,1
140269433753460,1,-1
140269433753785,-1,1
140269433753789,1,-1
140269433753803,-1,1
140269433753839,1,-1
140269433753856,-1,1
140269433753877,1,-1
140269433753884,-1,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,-45
140269433753896,-45,45
140269433753923,45,1
140269433753931,1,-46
140269433753991,-46,46
140269433754061,46,-46
140269433754208,-46,45
140269433754212,45,-45
140269433753991,-45,46
140269433754061,46,-46
140269433754208,-46,45
140269433754212,45,-45
140269433753991,-45,46
140269433754061,46,-46
140269433754208,-46,46
140269433754212,46,-46
140269433753991,-46,46
140269433754061,46,-46
140269433754208,-46,46
140269433754212,46,-46
140269433753991,-46,46
140269433754061,46,-46
140269433754208,-46,46
140269433754212,46,-46
140269433753991,-46,46
140269433754061,46,-46
140269433754208,-46,46
140269433754212,46,-46
140269433753991,-46,46
140269433754061,46,-46
140269433754208,-46,46
140269433754212,46,-46
140269433753991,-46,46
140269433754061,46,-46
140269433754208,-46,46
140269433754212,46,-46
140269433753991,-46,46
140269433754061,46,-46
140269433754208,-46,46
140269433754212,46,-1
140269433753586,-1,113791473
140269433753593,113791473,-113791472
140269433798836,-113791472,-1
140269433798848,-1,-45
140269433798852,-45,46
140269433798854,46,-46
140269433798860,-46,46
140269433798875,46,-46
140269433798891,-46,46
140269433798898,46,-1
140269433753664,-1,113791473
140269433753671,113791473,-113791473
140269433861912,-113791473,2
140269433861943,2,113791471
140269433861950,113791471,-113791473
140269433861984,-113791473,113791473
140269433862002,113791473,-113791473
140269433862044,-113791473,113791473
140269433862051,113791473,-113791473
140269433862068,-113791473,113791473
140269433862075,113791473,-113791473
140269433862080,-113791473,113791473
140269433862087,113791473,-113791473
140269433862092,-113791473,113791473
140269433862099,113791473,-113791473
140269433862104,-113791473,113791473
140269433862111,113791473,-113791473
140269433862121,-113791473,113791473
140269433862128,113791473,-113791473
140269433862133,-113791473,113791473
140269433862139,113791473,-113791473
140269433862143,-113791473,113791473
140269433862150,113791473,-113791482
140269433862170,-113791482,113791482
140269433862392,113791482,-113791482
140269433862170,-113791482,113791482
140269433862592,113791482,-113791482
140269433862170,-113791482,113791482
140269433862704,113791482,-113791482
140269433862170,-113791482,113791482
140269433862552,113791482,-113791482
140269433862170,-113791482,113791482
140269433862768,113791482,-113791482
140269433862170,-113791482,113791482
140269433862208,113791482,-113791482
140269433862170,-113791482,113791482
140269433862736,113791482,-113791482
140269433862170,-113791482,113791482
